latitude,longitude,town,postcode,epci,county,images/0,images/1,images/2,images/3,images/4,images/5,images/6,images/7,images/8,images/9,images/10,images/11,images/12,images/13
45.70541,0.30737,Mornac,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/4a55b300_9b7e_406b_a6dc_bccf54688234_jpg_e220fd960f.jpg,,,,,,,,,,,,,
45.72661,-0.38679,Louzac-Saint-André,16100,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/C3_F2177_F_A0_AD_4_E82_8_FDB_0069232195_AA_jpg_10756fe0a7.jpg,,,,,,,,,,,,,
45.71854,-0.39341,Louzac-Saint-André,16100,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/A62_C5_FB_5_8_E72_4_B17_97_EF_28_FA_7_D4950_C2_jpg_eaa36ab122.jpg,https://api.v2.clean2gether.com/uploads/4_B700527_6_B3_D_4412_BE_72_E6719_D12_FBE_1_jpg_5c3323b6ff.jpg,https://api.v2.clean2gether.com/uploads/CE_668_A46_26_B8_45_AE_B8_C5_0620_FB_7_B8010_jpg_325f0c9c4e.jpg,,,,,,,,,,,
45.68938,0.1533,Saint-Yrieix-sur-Charente,16710,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/3dd47b5d_2dcf_467c_938b_91696889a102_jpg_a59ffb6437.jpg,,,,,,,,,,,,,
45.68947,0.15279,Saint-Yrieix-sur-Charente,16710,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/af4d1b2a_0112_4d7f_97a9_e3a85d7d0beb_jpg_4670f4386b.jpg,,,,,,,,,,,,,
45.23529,-0.00933,Rioux-Martin,16210,CC Lavalette Tude Dronne,Charente,https://api.v2.clean2gether.com/uploads/505_A7599_8595_4558_99_A8_91_DCE_942_FA_57_jpg_d8e982d380.jpg,,,,,,,,,,,,,
45.80698,0.19586,Tourriers,16560,CC Coeur de Charente,Charente,https://api.v2.clean2gether.com/uploads/c14b56eb_2e20_402f_889d_a9a9207c95f8_jpg_58fee7f9db.jpg,,,,,,,,,,,,,
45.38915,-0.18041,Le Tâtre,16360,CC des 4B Sud Charente,Charente,https://api.v2.clean2gether.com/uploads/48515694_8e7f_4362_a9a5_c701beefa9d8_jpg_39ce1795ef.jpg,,,,,,,,,,,,,
45.68476,0.13306,Saint-Yrieix-sur-Charente,16710,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/8_EC_5_B4_F7_01_D6_496_D_912_F_42_AE_1390_B05_D_jpg_14d808381b.jpg,,,,,,,,,,,,,
45.68387,0.10775,Saint-Yrieix-sur-Charente,16710,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/f33a00d1_84a2_4043_ace3_d9ad74154057_jpg_1b00c6e803.jpg,,,,,,,,,,,,,
45.85214,0.29384,Saint-Amant-de-Bonnieure,16230,CC Coeur de Charente,Charente,https://api.v2.clean2gether.com/uploads/a3af271d_0f87_49f1_960f_0600d495e241_jpg_ebe786b33e.jpg,,,,,,,,,,,,,
45.64832,0.13597,Angoulême,16000,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/8a3a6262_ee8e_4bbb_830a_fb3d37d7fa8a_jpg_87f421cb50.jpg,,,,,,,,,,,,,
45.76383,0.0288,Saint-Genis-d'Hiersac,16570,CC du Rouillacais,Charente,https://api.v2.clean2gether.com/uploads/6e112f9e_53ce_45dc_bc9f_28dc5218e498_jpg_e34db04454.jpg,,,,,,,,,,,,,
45.69571,0.08801,Fléac,16730,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/38727_C7_F_BA_1_E_4_FC_2_A7_E9_A510_EC_5_C2822_jpg_5d9fcaccee.jpg,,,,,,,,,,,,,
45.61664,0.13379,La Couronne,16400,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/94b28eef_f82e_4f17_8b6b_9b21a9e21064_jpg_b16905adb7.jpg,,,,,,,,,,,,,
45.67396,-0.1686,Gondeville,16200,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/d3c63024_de64_4c40_b475_feed09bf7b6b_jpg_976ee3f1ea.jpg,https://api.v2.clean2gether.com/uploads/1b9ba9dc_d932_4840_b31a_f0996e14466f_jpg_7d448bab03.jpg,https://api.v2.clean2gether.com/uploads/1c73f04e_a5ff_41d3_9165_1775495c77ec_jpg_116a14d752.jpg,,,,,,,,,,,
45.71975,-0.17291,Les Métairies,16200,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/0_D6_C09_FE_B27_B_40_E3_ADD_0_6_AEB_9_EEF_0_A16_jpg_2b64176d5e.jpg,,,,,,,,,,,,,
45.61763,0.13112,La Couronne,16400,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/4890f60b_6908_45c6_b6e8_f4a3256f9ed1_jpg_048f9684f3.jpg,,,,,,,,,,,,,
46.05569,0.34956,Le Bouchage,16350,CC de Charente Limousine,Charente,https://api.v2.clean2gether.com/uploads/f9a490b3_a6dc_4199_9731_9ece00638cdc_jpg_7c91b2d2a9.jpg,,,,,,,,,,,,,
45.61652,0.13319,La Couronne,16400,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/511d3a33_8b42_4140_b355_3224f2ee6ea4_jpg_8ca070224f.jpg,,,,,,,,,,,,,
46.14066,-0.91295,Saint-Christophe,17220,CA de La Rochelle,Charente-Maritime,https://api.v2.clean2gether.com/uploads/1c48760c_38ce_4404_ab3f_31d671fbf933_jpg_472410f675.jpg,,,,,,,,,,,,,
45.57506,0.22372,Torsac,16410,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/A2_F03_F25_03_EC_49_B2_918_B_FCE_2192_DA_007_jpg_34aef76578.jpg,https://api.v2.clean2gether.com/uploads/0_F47_C5_AD_6051_49_A6_A900_546702_CE_5883_jpg_f9c00f66b6.jpg,https://api.v2.clean2gether.com/uploads/F0455463_9_B3_C_4060_8_E6_B_C1_F1_FC_817239_jpg_bf10d4baf6.jpg,https://api.v2.clean2gether.com/uploads/5_C02_C2_AA_9_DD_8_407_F_B2_E9_F30_DFCCD_78_ED_jpg_4cd747e669.jpg,,,,,,,,,,
45.92334,0.49688,Saint-Laurent-de-Céris,16450,CC de Charente Limousine,Charente,https://api.v2.clean2gether.com/uploads/D3_F10_FDD_753_B_4_E39_A4_A1_0_D5174_AD_2_AB_7_jpg_d2fb9b00f5.jpg,,,,,,,,,,,,,
45.67524,0.21965,Ruelle-sur-Touvre,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/c7376f98_42e6_40b3_9f7e_7f387ef43a12_jpg_0fed4ac8be.jpg,,,,,,,,,,,,,
45.92628,0.48196,Saint-Laurent-de-Céris,16450,CC de Charente Limousine,Charente,https://api.v2.clean2gether.com/uploads/874cee64_78b7_458d_965c_65299c853107_jpg_ab30cbc99d.jpg,,,,,,,,,,,,,
45.93202,0.4303,Parzac,16450,CC de Charente Limousine,Charente,https://api.v2.clean2gether.com/uploads/77943f04_7ef2_4688_aff9_ecf1a101be9d_jpg_4155937086.jpg,https://api.v2.clean2gether.com/uploads/33fae8a8_ea97_4442_b174_9ab2fb3d14a5_jpg_357615423c.jpg,,,,,,,,,,,,
45.66065,0.20924,L'Isle-d'Espagnac,16340,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/3be1c9ab_6466_4337_88f9_da067bef961d_jpg_b0e18a61a3.jpg,,,,,,,,,,,,,
45.64468,0.18155,Soyaux,16800,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/A9_BBAF_1_C_8_A10_40_A6_80_DB_59_DF_39_C06_F03_jpg_81aab63dbe.jpg,,,,,,,,,,,,,
45.75721,-0.41443,Saint-Sulpice-de-Cognac,16370,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/8965_E98_B_5_D2_B_415_A_95_B1_ACC_0_B3_A167_C7_jpg_3056a96782.jpg,,,,,,,,,,,,,
45.61719,0.07339,La Couronne,16400,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/97634_EF_3_C2_BE_4382_A11_C_6902_A575_F906_jpg_53c6831ad7.jpg,https://api.v2.clean2gether.com/uploads/ADC_2_AC_73_B18_B_49_BC_AA_7_B_751_F393826_EE_jpg_d5dc33560e.jpg,,,,,,,,,,,,
45.61807,-0.21903,Segonzac,16130,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/2429fea7_5c8b_4ad8_863f_6b25fe1e80ea_jpg_78cf173359.jpg,https://api.v2.clean2gether.com/uploads/9eb67d4b_fb84_434e_9709_e4ea1ad2bbc3_jpg_32add370fb.jpg,https://api.v2.clean2gether.com/uploads/33e6e1d2_eb68_4d1c_b2a1_8462fcd9308f_jpg_3ede08a2b6.jpg,,,,,,,,,,,
45.2286,0.17086,Saint-Privat-des-Prés,24410,CC du Pays de Saint Aulaye,Dordogne,https://api.v2.clean2gether.com/uploads/031_AB_6_B5_98_E9_4_A88_BEA_5_85286_F9_CDA_22_jpg_93622a71bf.jpg,,,,,,,,,,,,,
45.22896,0.17152,Saint-Privat-des-Prés,24410,CC du Pays de Saint Aulaye,Dordogne,https://api.v2.clean2gether.com/uploads/3_B0_AF_96_F_8_B1_C_409_F_ABA_4_259_EAECF_64_D2_jpg_1825fbb75c.jpg,,,,,,,,,,,,,
45.6459,0.11088,Saint-Michel,16470,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/eb54078e_2c4c_4ac4_9ee0_0022ba48b591_jpg_2078b50aa7.jpg,,,,,,,,,,,,,
45.6744,0.26245,Mornac,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/1_C6_DAEA_5_76_F2_4620_9191_D876_C2_BC_3_A96_jpg_3db0dd6148.jpg,,,,,,,,,,,,,
45.3486,-0.0391,Passirac,16480,CC des 4B Sud Charente,Charente,https://api.v2.clean2gether.com/uploads/FB_46_F23_A_4769_4470_8_F0_E_C5_B2_AE_7_B1767_jpg_33f3c40569.jpg,,,,,,,,,,,,,
45.67519,-0.27444,Gensac-la-Pallue,16130,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/5bb36e9c_c45c_4d78_beab_e46cdf1e3af5_jpg_082f6f7254.jpg,,,,,,,,,,,,,
