latitude,longitude,town,postcode,epci,county,images/0,images/1,images/2,images/3,images/4,images/5,images/6,images/7,images/8,images/9,images/10,images/11,images/12,images/13
45.27346,-0.5716,Saint-Aubin-de-Blaye,33820,CC de l'Estuaire,Gironde,https://api.v2.clean2gether.com/uploads/fc8ccbdf_81c5_4653_9c01_09cfdd86a9e4_jpg_2b12aa926c.jpg,https://api.v2.clean2gether.com/uploads/593c8bf1_d207_42d4_8701_6c64ca48cbc7_jpg_45d39d4f66.jpg,,,,,,,,,,,,
45.64063,0.1934,Soyaux,16800,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/336e13f2_2be3_434b_a323_0d9010a597de_jpg_e28a244870.jpg,,,,,,,,,,,,,
45.67585,0.13639,Saint-Yrieix-sur-Charente,16710,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/52ee9f01_831e_4543_9f93_6b05410a5d6d_jpg_bafe05e4cb.jpg,https://api.v2.clean2gether.com/uploads/4077bd10_3ab6_447d_afce_f8aac7ecf6b7_jpg_0c093c53a5.jpg,,,,,,,,,,,,
45.69194,0.02475,Asni��res-sur-Nou��re,16290,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/b2c85810_c55a_4fa5_b555_b22f1453975e_jpg_9af32593fc.jpg,,,,,,,,,,,,,
45.62375,0.1296,La Couronne,16400,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/e380ad8d_6215_426a_abd5_6910da05b148_jpg_892222b227.jpg,,,,,,,,,,,,,
45.32927,-0.5001,Courpignac,17130,CC de la Haute Saintonge,Charente-Maritime,https://api.v2.clean2gether.com/uploads/29246b9b_e192_4d00_bb2a_55718cad1e8d_jpg_4e5f0b324c.jpg,https://api.v2.clean2gether.com/uploads/c25de881_57c2_47bc_bb22_898be47824d4_jpg_755cff25fe.jpg,,,,,,,,,,,,
45.57575,-0.31472,Cierzac,17520,CC de la Haute Saintonge,Charente-Maritime,https://api.v2.clean2gether.com/uploads/4647f423_840a_4e59_a7f0_75746e2f4f23_jpg_74c41af354.jpg,,,,,,,,,,,,,
45.5872,-0.33126,Salles-d'Angles,16130,CC de la Haute Saintonge,Charente,https://api.v2.clean2gether.com/uploads/ce222621_6b24_4016_ad89_8b91bb44fef1_jpg_ddc99f01f3.jpg,,,,,,,,,,,,,
45.64026,0.13609,AngoulǦme,16000,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/571b3162_f57f_4928_97d2_7e793285a36d_jpg_3be612d17b.jpg,,,,,,,,,,,,,
45.65353,-1.1246,Saint-Palais-sur-Mer,17420,CA Royan Atlantique,,https://api.v2.clean2gether.com/uploads/2ba46485_1ea3_4cbe_a156_620c8d0a2ec5_jpg_ee1c9b1e56.jpg,https://api.v2.clean2gether.com/uploads/906d0d6d_375e_466d_9534_293ed879611b_jpg_c40493ea8e.jpg,,,,,,,,,,,,
45.64625,0.1117,AngoulǦme,16000,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/FA_9_C5_FF_6_E126_44_D8_9880_015_FC_5_C20247_jpg_2d7dcef873.jpg,,,,,,,,,,,,,
45.64735,0.11632,AngoulǦme,16000,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/F009_D7_A1_460_D_4767_B9_F8_F5_CFC_9_EBE_0_CC_jpg_edb01a6f97.jpg,,,,,,,,,,,,,
45.65433,0.2547,Touvre,16600,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/75c53bb3_9118_4c2f_a74a_8b17fbc68797_jpg_a3ff806bfa.jpg,https://api.v2.clean2gether.com/uploads/9d686904_d529_417d_94db_d46925c9bee3_jpg_54763ea087.jpg,https://api.v2.clean2gether.com/uploads/c400a94f_0772_44cc_a422_efbace9a3c36_jpg_aeb7cea25a.jpg,,,,,,,,,,,
45.79641,-0.03003,Saint-Cybardeaux,16170,CC du Rouillacais,Charente,https://api.v2.clean2gether.com/uploads/076546aa_68c2_4446_95b0_cd007cc4dd36_jpg_23404d036a.jpg,,,,,,,,,,,,,
45.70727,-0.30167,Boutiers-Saint-Trojan,16100,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/7665_E07_F_3_EC_1_4_F23_B12_F_6507_F54_B577_B_jpg_a595d5164c.jpg,,,,,,,,,,,,,
45.79591,-0.03015,Saint-Cybardeaux,16170,CC du Rouillacais,Charente,https://api.v2.clean2gether.com/uploads/c00108dc_e039_46e3_8980_485cc3b3e167_jpg_dfb5260ca2.jpg,,,,,,,,,,,,,
45.53599,-0.16887,Touzac,16120,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/99a770ea_a6a7_4cf4_9fa1_380269a56f5d_jpg_6e8d704113.jpg,,,,,,,,,,,,,
45.46957,-0.20206,Montchaude,16300,CC des 4B Sud Charente,Charente,https://api.v2.clean2gether.com/uploads/adab7072_c863_4530_b29b_ae9c2da90258_jpg_43be9523ce.jpg,,,,,,,,,,,,,
45.58883,-0.34212,Saint-Martial-sur-NǸ,16130,CC de la Haute Saintonge,Charente-Maritime,https://api.v2.clean2gether.com/uploads/2a06dfef_64d2_4bee_a7b9_e17cf47deaec_jpg_205b21fee8.jpg,,,,,,,,,,,,,
45.62105,0.40377,Saint-Germain-de-Montbron,16380,CC La Rochefoucauld - Porte du PǸrigord,Charente,https://api.v2.clean2gether.com/uploads/6566471_A_7125_45_EA_A4_F7_EB_7_CB_0_EE_8_FB_9_jpg_969bd8981c.jpg,,,,,,,,,,,,,
45.65401,0.22463,Magnac-sur-Touvre,16600,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/99890705_d747_404d_b346_cbf0452b7fed_jpg_4cb639c18d.jpg,,,,,,,,,,,,,
45.67235,0.00522,Hiersac,16290,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/1fd40ba6_55ff_4b3f_aada_14cd3d00f5ed_jpg_54fd026650.jpg,,,,,,,,,,,,,
45.6408,0.24232,Magnac-sur-Touvre,16600,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/0_C3_C4_AD_3_376_B_4_A15_BC_59_64490_E06_A236_jpg_2ff86441d8.jpg,,,,,,,,,,,,,
45.32977,1.34855,Chabrignac,19350,CA du Bassin de Brive,Corr��ze,https://api.v2.clean2gether.com/uploads/be733ba6_6a62_4973_837f_03b686b00428_jpg_178bd75a0b.jpg,,,,,,,,,,,,,
